experiment,run,number_of_cases,number_of_events,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality
1,1,7560,82495,11,13,4.549555784611993,14.085386666666666,86.74699355500255
1,2,7746,84430,11,12,4.565548326232895,11.783866666666666,86.36223785481657
1,3,7573,82575,11,12,4.527742423522161,11.585211666666668,86.80607766927521
1,4,7705,83951,11,13,4.539964129136924,10.923966666666667,86.56383053894176
1,5,7668,83691,11,11,4.578585924404451,15.569193333333335,86.51670290632943
1,6,7706,84127,11,9,4.555357649450644,12.715008333333333,86.33746710877624
1,7,7535,82197,11,9,4.549560519575315,12.188793333333333,86.5339240276046
1,8,7608,83017,11,11,4.556465546354715,10.923565,86.56433346741677
1,9,7631,83255,11,7,4.544320150264272,14.537775,86.39938133385643
1,10,7575,82607,11,14,4.571236526952695,14.922103333333332,86.70081062156238
1,11,7580,82692,11,10,4.5294820751978895,12.294375,86.69454800496007
1,12,7773,84765,11,12,4.590422227582658,18.591189999999997,86.25202150932148
1,13,7639,83429,11,9,4.5735742178295595,16.387228333333333,86.33001959240147
1,14,7655,83403,11,9,4.556517679512301,13.926928333333333,86.4282512010939
1,15,7705,84111,11,9,4.59922840817651,22.35563,86.22864397086042
1,16,7517,81907,11,11,4.538153381224779,12.752855,86.67606321526677
1,17,7693,83940,11,11,4.545239645348586,11.437289999999999,86.41098716520511
1,18,7549,82345,11,11,4.5323564812116395,11.720126666666665,86.82666941606374
1,19,7738,84391,11,10,4.544476952700957,13.004225,86.26654056239754
1,20,7610,83014,11,14,4.570265679150241,14.811668333333333,86.4902876148929
2,1,7559,82481,11,13,4.496449175155444,14.3654,88.23793870613095
2,2,7744,84422,11,11,4.50828217092803,18.825938333333333,87.97364962300318
2,3,7572,82576,11,14,4.469035510653284,12.498766666666667,88.27841827022104
2,4,7704,83962,11,13,4.498594196088613,13.00393,87.92062153910703
2,5,7669,83698,11,13,4.524300921676012,14.186466666666666,87.99597048043586
2,6,7702,84126,11,9,4.513732165238466,11.921166666666666,87.8274420843897
2,7,7532,82185,11,9,4.491432398433352,10.92104,88.17449468084378
2,8,7607,83024,11,11,4.480009246965514,14.186376666666666,88.2343329473997
2,9,7631,83267,11,11,4.4890695208142235,11.734048333333334,87.95190698942851
2,10,7578,82601,12,13,4.500107011084719,13.561275,88.29021782870883
2,11,7578,82697,11,11,4.468996412641858,18.569868333333332,88.31411817701985
2,12,7772,84757,12,15,4.556798708826557,12.979555,87.54628784381528
2,13,7635,83427,11,8,4.502443480026196,15.193796666666666,87.91985938699801
2,14,7655,83411,11,12,4.489234834095361,15.387736666666665,87.90544985893169
2,15,7707,84093,11,13,4.516056028934735,23.545144999999998,87.860183654386
2,16,7510,81903,11,9,4.487394624278739,13.66922,88.18246309815521
2,17,7694,83938,12,13,4.500641742266702,13.409574999999998,87.85123612788358
2,18,7549,82344,11,12,4.482390075506689,17.310006666666666,88.35988878240309
2,19,7738,84386,11,10,4.492510474928922,17.018998333333332,87.72755423228797
2,20,7611,83012,11,12,4.500598696623309,16.850415,88.20566340117466
3,1,7553,82495,11,11,4.422366186062932,12.418579999999999,88.70747910598564
3,2,7736,84414,11,9,4.4132646912702524,11.370423333333333,88.6248156319443
3,3,7570,82559,11,11,4.4138650620871855,11.555748333333334,88.61408602682918
3,4,7708,83948,11,13,4.402347447024736,10.331584999999999,88.56267370376078
3,5,7673,83705,11,11,4.441600663799471,13.200886666666666,88.52318485245917
3,6,7703,84131,11,9,4.4111163423341555,11.585081666666667,88.39748078588096
3,7,7533,82203,11,8,4.410606027257843,11.547545000000001,88.67685738524068
3,8,7606,83019,11,9,4.4221885489525805,14.246778333333333,88.62997845448017
3,9,7633,83273,11,9,4.407067021922355,11.199946666666667,88.51837920200865
3,10,7572,82599,11,12,4.421430857765452,13.0185,88.75735269807956
3,11,7577,82690,11,10,4.401998487967973,13.147786666666667,88.71235875980626
3,12,7769,84762,11,10,4.4507668031063625,13.006958333333333,88.22958091230988
3,13,7637,83421,11,8,4.430384998472349,12.164903333333333,88.43628052654509
3,14,7656,83399,11,11,4.413038300679206,16.353816666666667,88.41758959039257
3,15,7704,84104,11,10,4.47162218241606,19.519473333333334,88.18832631154224
3,16,7510,81893,11,10,4.419471730137594,12.956885,88.69962375754056
3,17,7692,83943,11,9,4.405320472785578,12.798383333333334,88.530776888385
3,18,7548,82332,11,12,4.3987310459724425,11.889223333333332,88.91024566604953
3,19,7738,84401,11,9,4.395797493969156,10.896975,88.37337694852913
3,20,7608,83023,11,9,4.433197198124781,12.066253333333332,88.6416408210878
4,1,7609,81780,12,16,13.264945226267141,123.53364166666667,75.32997526924635
4,2,7793,83508,11,13,15.11250111938064,165.13315833333334,75.77218943948773
4,3,7613,81775,11,15,14.272358840579708,151.67753166666668,75.71261247194411
4,4,7752,83006,11,14,14.93349388480392,165.48212333333333,75.8237808975346
4,5,7689,82850,12,13,14.062857791650409,137.88907833333332,75.77726335933762
4,6,7762,83201,11,11,15.30741304689513,164.13976833333334,75.391799131432
4,7,7558,81613,11,12,11.374945561215487,104.20338666666666,76.2147448869651
4,8,7667,82525,11,9,12.791554375461939,120.530875,75.62317924345311
4,9,7665,82376,11,14,14.992227016090455,161.15675000000002,75.71263113104519
4,10,7652,81808,11,13,16.296025385084512,168.864595,75.42615030678934
4,11,7640,82108,11,13,12.309827343368237,121.29442,75.5794218128565
4,12,7801,83959,12,15,13.363344527411016,141.39626,75.61511547805955
4,13,7676,82632,11,11,13.44105024861039,154.16312333333332,76.06488582405552
4,14,7760,82564,12,14,17.767747941151203,184.23354,75.24626192360535
4,15,7749,83278,11,13,14.421512568288383,159.93546,75.96564505689952
4,16,7601,81081,11,12,16.742977306933298,172.24298666666667,75.2717022284782
4,17,7743,83041,11,12,14.5087472663481,166.75570666666667,75.573354183516
4,18,7586,81661,11,12,12.861992122550312,136.01200666666668,76.39442987657488
4,19,7785,83679,11,10,12.69762455662599,127.96781333333334,75.48421070560234
4,20,7629,82461,11,12,11.5996103255123,112.19053666666667,76.62113223156749
5,1,7572,82287,11,13,6.466289345175206,48.25031166666667,80.78601960136022
5,2,7772,84072,11,12,8.964988230614171,75.79883333333333,77.49998947198543
5,3,7584,82419,11,11,6.809366286700071,47.408755,80.4554354523509
5,4,7710,83454,12,14,9.01629500043234,97.49111333333333,78.89352130155174
5,5,7677,83429,11,11,8.537751027745212,58.56234,77.88924049937424
5,6,7705,83640,11,11,9.509335383949814,96.35944166666667,77.89059889555801
5,7,7560,81869,11,11,9.925990591049382,88.34220166666667,76.80775739878348
5,8,7647,82957,11,11,7.875687932958459,49.82461333333333,77.698187555916
5,9,7647,83099,11,14,8.188993628002267,52.345571666666665,77.8323083522279
5,10,7619,82448,12,15,9.249718018768869,60.826995000000004,76.66611262452797
5,11,7584,82422,11,12,7.600757786568214,72.73678166666667,80.38336206424763
5,12,7819,84246,12,14,11.906162360063094,104.27326500000001,75.86920994610128
5,13,7641,83208,12,13,7.4494497417441,61.78759166666667,80.04287179664284
5,14,7694,83137,11,13,10.185924076553158,82.35413,76.24914480571557
5,15,7726,83592,11,12,10.495042808913626,105.13491333333333,77.82030416301882
5,16,7563,81798,11,12,9.122160218828506,61.674835,76.58494095668846
5,17,7717,83662,11,9,8.627292275711632,72.37399333333333,77.91269677581643
5,18,7562,82056,11,12,7.709336721766728,67.47127833333333,79.81633197338301
5,19,7759,84129,11,12,8.220614996133524,65.305785,77.74200651957867
5,20,7623,82835,11,13,7.473988689929599,64.02280666666667,79.39822019341239
6,1,7556,81722,12,16,4.7454527432945115,65.86451833333334,87.66784604328714
6,2,7741,83467,12,13,4.558286205485941,102.82910833333334,88.19431760468127
6,3,7572,81711,12,17,4.58144490931502,69.043765,88.07813278639469
6,4,7708,82829,12,15,4.482741811754022,40.15731,88.33628211143134
6,5,7672,82935,12,16,4.638096222410497,89.13164333333334,87.85952132694698
6,6,7712,83165,12,13,4.539375553682573,57.01911333333333,87.79307710106306
6,7,7536,81516,12,15,4.578085907864473,45.290085,88.08402870066584
6,8,7608,82269,12,13,4.633517382579741,81.01090833333333,87.70461202668272
6,9,7633,82370,12,14,4.676965423162583,93.37281666666667,87.52592691258168
6,10,7577,81697,12,13,4.585587318639743,66.068485,88.18921032898979
6,11,7583,81915,12,13,4.609955783990506,80.57114666666666,87.86376258277033
6,12,7769,83547,12,15,4.572321298965976,60.865339999999996,87.97260928434461
6,13,7646,82612,12,14,4.593161457188944,43.925715,87.74096052916312
6,14,7650,82660,12,15,4.604767762309368,88.58236000000001,87.78216217818442
6,15,7722,83146,12,13,4.557852011568679,58.38037333333333,87.7346208894006
6,16,7509,81029,12,15,4.563926498202158,79.83700166666667,88.2110601234941
6,17,7704,82930,12,13,4.535519524489443,47.19853166666667,87.80060577389042
6,18,7553,81540,12,11,4.547890199699898,41.140695,88.15911596537177
6,19,7735,83422,12,13,4.546019278388278,56.416865,87.6571151746357
6,20,7610,82106,12,13,4.586215664695576,84.29522833333334,88.18301799715503
7,1,7580,82371,12,15,5.017885354001758,249.99966,87.32024246876276
7,2,7740,83944,12,13,4.6901107004737295,153.58684,87.82207927371805
7,3,7577,82379,12,15,5.139430365800009,201.29076666666666,87.3655948982051
7,4,7705,83532,12,14,4.652834301752109,105.26222333333334,87.79792619681511
7,5,7673,83357,12,15,4.789391884530171,104.02282833333334,87.66969250984693
7,6,7711,83772,12,12,4.7439634863614755,233.56517,87.60401425839196
7,7,7532,82002,12,12,4.939834275978049,159.15060499999998,87.43257244688682
7,8,7615,82725,12,11,5.152216537754432,336.916235,87.33835127960273
7,9,7634,83053,12,14,5.056349817046546,226.99153166666667,87.34028126977172
7,10,7575,82340,12,17,4.902066822442245,93.29144,87.61394792502736
7,11,7575,82554,12,12,4.923910700550055,172.27281499999998,87.55905979024195
7,12,7770,84262,12,14,4.73334812054912,88.88009333333333,87.5907460721298
7,13,7637,83106,12,12,5.055952151586573,215.7696,87.32843912997419
7,14,7669,83160,12,11,4.729316236797497,102.53034166666666,87.24535324522131
7,15,7726,83734,12,14,4.6354112710328765,179.2160333333333,87.65708082058602
7,16,7524,81766,12,11,5.119118945153287,127.02423999999999,87.10772452812182
7,17,7710,83624,12,12,4.711310598573281,86.57035833333333,87.28631093888858
7,18,7571,82041,12,12,4.789737522344032,189.79926333333333,87.69102901390524
7,19,7734,83982,12,12,4.727773975950348,86.59745833333334,87.41012036048468
7,20,7618,82762,12,12,4.920334012864269,248.34796833333334,87.60001637684776
8,1,7575,82239,11,15,6.457654616941694,55.80543,79.82707006897249
8,2,7748,83938,11,11,9.345893884013078,86.221745,76.11698237501784
8,3,7586,82453,11,13,6.489451383469549,47.65573,79.6406722909002
8,4,7725,83518,11,14,9.729283243365696,82.41694333333334,75.32153095933924
8,5,7677,83466,11,14,7.831916354478747,58.83415,76.99098861302258
8,6,7733,83805,11,12,10.255586487133067,83.31187166666668,74.82777722533837
8,7,7552,81955,11,13,8.135034965351343,57.831783333333334,76.1129372258601
8,8,7634,82813,11,12,8.734670491223474,69.05982,75.78028196630565
8,9,7637,83114,11,12,7.78685744773253,53.161635000000004,77.0178213165813
8,10,7598,82492,11,14,6.663473859787663,43.30280166666667,78.62608523549181
8,11,7616,82448,11,13,8.282830645789566,76.96466333333333,77.22655315778039
8,12,7798,84370,12,14,9.70555160810464,81.32998333333333,74.95143334223376
8,13,7638,83117,11,11,8.745213938421925,74.25238666666668,77.29627111100855
8,14,7710,83202,11,13,10.23295450886295,73.23758333333333,74.35959566598402
8,15,7710,83814,11,12,8.592449194552529,69.96931500000001,76.85329770205888
8,16,7542,81656,11,12,9.257738814638028,71.43207333333334,75.24006700542192
8,17,7716,83747,11,13,7.249143777648176,58.700858333333336,78.04511034384952
8,18,7593,82094,11,11,9.400795888098688,77.778135,75.43255189716213
8,19,7744,84107,11,12,7.097335158186983,61.572835000000005,78.20267474538542
8,20,7615,82942,11,12,6.934623446706062,43.268166666666666,78.40267864746006
9,1,7565,82320,12,14,5.3864514139678334,295.4904483333333,85.39473716197234
9,2,7756,84051,12,12,4.865211405793364,92.22391999999999,85.49460473471426
9,3,7575,82300,12,14,5.2347640574257435,184.69708166666666,85.26870607312283
9,4,7706,83385,12,15,4.773641618652132,70.72331833333332,85.81403605243803
9,5,7678,83262,12,14,5.014649680906487,127.69327333333334,85.55743127646224
9,6,7726,83836,12,14,4.83279174820951,125.23303833333333,85.46592751839023
9,7,7539,82030,12,10,4.956260026307644,155.55109333333334,85.63049502977331
9,8,7612,82687,12,14,4.976960797425119,96.67635166666668,85.35246593087692
9,9,7638,83028,12,14,5.202262341363357,328.5428333333333,85.20029947378497
9,10,7584,82330,12,14,5.057078347617791,89.15758833333332,85.33961473449021
9,11,7587,82378,12,14,5.135766604498924,177.80487166666666,85.34355911119694
9,12,7787,84180,12,12,4.8008190944308895,60.06822833333333,85.47868446194278
9,13,7636,83045,12,13,5.404604472455037,282.89430166666665,85.46304791796209
9,14,7656,82958,12,16,4.916124115073146,89.26126833333333,85.30227586746682
9,15,7718,83643,12,14,4.990860773516455,131.20242666666667,85.51251986464707
9,16,7525,81671,12,13,5.251450630564785,292.89511000000005,85.08807526747535
9,17,7708,83603,12,11,4.886759207317073,101.23370833333334,85.52197915625698
9,18,7572,82095,12,14,4.857875002421201,108.28813333333332,85.60505029811009
9,19,7740,83937,12,12,4.979796280361756,169.256645,85.38156828739116
9,20,7618,82771,12,12,5.212061652883522,222.53686166666665,85.31342474312144
10,1,7559,82507,11,10,4.488868624377122,8.280736666666666,86.31171372779046
10,2,7740,84424,11,10,4.486346065676142,8.713741666666666,86.19206649115557
10,3,7573,82562,11,9,4.457973531405432,8.576876666666667,86.3485880865943
10,4,7709,83950,11,11,4.473713901500411,8.736001666666668,86.13700192359187
10,5,7669,83694,11,10,4.478330964706393,8.630533333333334,86.49451638997252
10,6,7701,84136,11,10,4.479122230879107,8.483396666666668,86.16310769036542
10,7,7536,82212,11,10,4.48449945329087,8.097566666666667,86.2862117690528
10,8,7605,83005,11,11,4.475587948937102,8.326438333333334,86.45039289771645
10,9,7633,83266,11,10,4.460457028691209,8.18327,86.34441994687127
10,10,7577,82632,11,12,4.487806295807488,8.395431666666667,86.56671878692808
10,11,7580,82691,11,12,4.4618101715039575,8.487983333333334,86.35223486508394
10,12,7771,84762,11,12,4.485433754557543,8.321886666666666,86.18842890928289
10,13,7641,83411,11,9,4.471688884090216,8.40769,86.2514056523223
10,14,7650,83406,11,11,4.4746927274509805,8.119715000000001,86.2396142748237
10,15,7710,84112,11,9,4.469586297016861,8.212918333333333,86.24394618979582
10,16,7513,81889,11,10,4.47078851235636,8.936544999999999,86.43259764700944
10,17,7694,83933,11,11,4.470862534659042,8.068345,86.27382768563979
10,18,7548,82341,11,11,4.4867432478802325,8.498125,86.43245553900817
10,19,7729,84374,11,8,4.461056039806788,8.324698333333334,86.0792141128514
10,20,7614,83029,11,10,4.481201067769898,8.263796666666668,86.44222693969364
11,1,7554,82487,11,10,4.284563335319036,7.825735,89.65420070259567
11,2,7738,84420,11,10,4.276175749763073,8.140981666666667,89.53622372259743
11,3,7567,82581,11,10,4.271384926434958,8.099476666666666,89.57206377883794
11,4,7706,83958,11,11,4.25904864477896,8.225703333333334,89.51287799364735
11,5,7666,83716,11,9,4.294923759457344,8.148143333333334,89.46921818977148
11,6,7701,84139,11,8,4.276172933818119,8.175758333333333,89.35778131412617
11,7,7533,82206,11,8,4.270713789769459,7.681375,89.67704442259172
11,8,7605,83020,11,10,4.280726932719702,7.899376666666667,89.51327339532612
11,9,7630,83261,11,10,4.262438316950633,8.273101666666667,89.4947824994417
11,10,7573,82602,11,11,4.28260310599058,8.206098333333333,89.70102120673276
11,11,7575,82693,11,8,4.2635266816281625,8.077536666666667,89.6291486616146
11,12,7768,84772,11,11,4.29395333161689,8.054668333333334,89.28193899351628
11,13,7637,83419,11,9,4.283445431670376,8.229526666666667,89.34998447000127
11,14,7649,83394,11,9,4.2691182901904385,7.761035000000001,89.45146242235673
11,15,7704,84114,11,8,4.279183828530634,8.43491,89.42439715360571
11,16,7508,81882,11,10,4.275036341679987,8.807261666666667,89.63244425163582
11,17,7690,83938,11,8,4.272044511270048,8.599866666666665,89.44872397418496
11,18,7544,82348,11,9,4.2742213717302935,7.904321666666666,89.72503562855026
11,19,7730,84360,11,10,4.261725304872789,8.657058333333334,89.26700570004418
11,20,7607,83036,11,10,4.2858531521405725,8.412168333333334,89.6349862822757
12,1,7556,82497,11,11,4.243360997441327,8.093539999999999,90.08416267755439
12,2,7738,84434,11,7,4.2405672148272595,8.044856666666666,89.88645157169788
12,3,7568,82553,11,9,4.223420568402044,7.952201666666666,89.97439331604681
12,4,7702,83950,11,9,4.22920306175885,7.805628333333333,89.92656900471103
12,5,7667,83698,11,9,4.24427013021173,7.634446666666666,89.97067522859356
12,6,7700,84137,11,8,4.235887196320347,7.876013333333333,89.78191393500317
12,7,7532,82198,11,9,4.238452879934502,7.963766666666667,89.96738247639594
12,8,7605,83004,11,7,4.24379517685733,7.978763333333333,89.9260578094082
12,9,7632,83275,11,8,4.221771878275681,7.839103333333333,89.91887018988567
12,10,7569,82613,11,8,4.258607862993791,8.035558333333334,90.0229052137032
12,11,7577,82691,11,10,4.2281456447142665,7.986323333333333,89.94050642614502
12,12,7771,84762,11,8,4.256018882168747,8.237843333333334,89.6642236676143
12,13,7635,83430,11,7,4.245846535690896,7.8931016666666665,89.79644505249617
12,14,7649,83385,11,11,4.233237668758443,8.00449,89.8073251555932
12,15,7706,84107,11,8,4.2354290271649795,8.156086666666667,89.81327769285754
12,16,7510,81873,11,10,4.240579622059476,7.936668333333333,89.94784870329856
12,17,7693,83944,11,8,4.238420924216821,7.66125,89.7772051076311
12,18,7546,82353,11,10,4.2441605007067755,7.474333333333333,89.97501604651696
12,19,7727,84365,11,7,4.2254400170398165,8.028153333333334,89.70420125015403
12,20,7606,83030,11,8,4.24593832106232,7.932923333333333,89.99660995140911
13,1,7558,82489,11,10,4.286077077048603,8.601281666666667,89.59271398065813
13,2,7737,84414,11,10,4.284968263323424,8.236948333333334,89.48345950841556
13,3,7569,82571,11,11,4.269361281102744,7.835001666666667,89.61444408731684
13,4,7705,83958,11,10,4.274791657149038,8.12122,89.45639328838969
13,5,7668,83700,11,9,4.290755551208487,8.266516666666666,89.52614802139925
13,6,7702,84132,11,10,4.283535891543322,8.805321666666666,89.35240394843484
13,7,7531,82191,11,9,4.283756305714159,8.585216666666668,89.59917103436584
13,8,7604,83017,11,8,4.285027256487814,7.725083333333333,89.56799004914538
13,9,7632,83266,11,10,4.266314277603075,8.519578333333333,89.52788821750018
13,10,7573,82604,11,11,4.294963847440468,7.741986666666667,89.63798221216705
13,11,7577,82685,11,9,4.272511653468831,8.383968333333334,89.52243176904634
13,12,7766,84757,11,11,4.307051889861791,9.705621666666667,89.33722295072317
13,13,7637,83421,11,9,4.2828540938850335,8.209185,89.4196529170949
13,14,7650,83400,11,10,4.271921176470588,9.113913333333333,89.44277769258338
13,15,7704,84110,11,7,4.28429957770855,9.289421666666668,89.41671413561846
13,16,7507,81874,11,8,4.28309351538564,8.846020000000001,89.58662341141512
13,17,7689,83934,11,8,4.275365869207092,8.441915,89.46207357516631
13,18,7546,82344,11,9,4.274821167285096,8.01993,89.72023714704164
13,19,7729,84352,11,10,4.2740762192176645,9.59467,89.28231522951029
13,20,7610,83035,11,8,4.288503081471748,8.071096666666667,89.58785283678272
14,1,7557,82498,11,11,4.247803386264391,7.776610000000001,89.92108559783135
14,2,7735,84418,11,10,4.247166679594915,7.654856666666666,89.85379958789173
14,3,7568,82568,11,10,4.228586575493305,8.19244,89.9270601714501
14,4,7702,83954,11,9,4.235133478966501,8.170584999999999,89.85773880350811
14,5,7666,83685,11,9,4.2473245077832855,8.227518333333332,89.97545153468731
14,6,7702,84134,11,7,4.240495494893101,8.089388333333334,89.67722733301845
14,7,7532,82205,11,10,4.23811034630023,7.594761666666667,89.93547945943304
14,8,7601,83005,11,6,4.23872338902776,8.505215,90.00707100556153
14,9,7630,83259,11,8,4.223845658584534,8.367815,89.90201073224127
14,10,7567,82601,11,10,4.258478810845337,7.712315,90.05052875983452
